These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  MIN  O3(PPB)
SMO 2015   07  09  04    20    17.19
SMO 2015   07  09  04    25    16.80
SMO 2015   07  09  04    30    15.43
SMO 2015   07  09  04    35    16.52
SMO 2015   07  09  04    40    16.36
SMO 2015   07  09  04    45    16.44
SMO 2015   07  09  04    50    17.27
SMO 2015   07  09  04    55    17.45
SMO 2015   07  09  05    00    17.28
SMO 2015   07  09  05    05    16.58
SMO 2015   07  09  05    10    17.53
SMO 2015   07  09  05    15    16.86
SMO 2015   07  09  05    20    16.72
SMO 2015   07  09  05    25    15.38
SMO 2015   07  09  05    30    16.79
SMO 2015   07  09  05    35    17.17
SMO 2015   07  09  05    40    16.87
SMO 2015   07  09  05    45    16.52
SMO 2015   07  09  05    50    18.85
SMO 2015   07  09  05    55    19.02
SMO 2015   07  09  06    00    17.54
SMO 2015   07  09  06    05    18.25
SMO 2015   07  09  06    10    19.03
SMO 2015   07  09  06    15    19.18
SMO 2015   07  09  06    20    17.22
SMO 2015   07  09  06    25    17.71
SMO 2015   07  09  06    30    18.42
SMO 2015   07  09  06    35    19.25
SMO 2015   07  09  06    40    17.80
SMO 2015   07  09  06    45    17.86
SMO 2015   07  09  06    50    18.29
SMO 2015   07  09  06    55    18.66
SMO 2015   07  09  07    00    18.64
SMO 2015   07  09  07    05    17.95
SMO 2015   07  09  07    10    18.35
SMO 2015   07  09  07    15    18.45
SMO 2015   07  09  07    20    17.44
SMO 2015   07  09  07    25    16.91
SMO 2015   07  09  07    30    16.76
SMO 2015   07  09  07    35    18.25
SMO 2015   07  09  07    40    17.23
SMO 2015   07  09  07    45    17.62
SMO 2015   07  09  07    50    17.24
SMO 2015   07  09  07    55    18.02
SMO 2015   07  09  08    00    18.26
SMO 2015   07  09  08    05    18.17
SMO 2015   07  09  08    10    18.03
SMO 2015   07  09  08    15    19.34
SMO 2015   07  09  08    20    18.42
SMO 2015   07  09  08    25    17.78
SMO 2015   07  09  08    30    18.60
SMO 2015   07  09  08    35    19.80
SMO 2015   07  09  08    40    18.39
SMO 2015   07  09  08    45    17.82
SMO 2015   07  09  08    50    17.69
SMO 2015   07  09  08    55    20.08
SMO 2015   07  09  09    00    18.08
SMO 2015   07  09  09    05    17.45
SMO 2015   07  09  09    10    17.32
SMO 2015   07  09  09    15    18.42
SMO 2015   07  09  09    20    18.42
SMO 2015   07  09  09    25    18.05
SMO 2015   07  09  09    30    17.14
SMO 2015   07  09  09    35    18.35
SMO 2015   07  09  09    40    18.54
SMO 2015   07  09  09    45    18.30
SMO 2015   07  09  09    50    17.20
SMO 2015   07  09  09    55    20.07
SMO 2015   07  09  10    00    19.05
SMO 2015   07  09  10    05    18.31
SMO 2015   07  09  10    10    17.26
SMO 2015   07  09  10    15    18.12
SMO 2015   07  09  10    20    17.73
SMO 2015   07  09  10    25    18.15
SMO 2015   07  09  10    30    17.43
SMO 2015   07  09  10    35    18.97
SMO 2015   07  09  10    40    18.90
SMO 2015   07  09  10    45    18.39
SMO 2015   07  09  10    50    17.35
SMO 2015   07  09  10    55    18.58
SMO 2015   07  09  11    00    18.03
SMO 2015   07  09  11    05    18.55
SMO 2015   07  09  11    10    18.35
SMO 2015   07  09  11    15    18.83
SMO 2015   07  09  11    20    19.18
SMO 2015   07  09  11    25    17.95
SMO 2015   07  09  11    30    17.85
SMO 2015   07  09  11    35    18.18
SMO 2015   07  09  11    40    18.75
SMO 2015   07  09  11    45    18.06
SMO 2015   07  09  11    50    17.68
SMO 2015   07  09  11    55    17.90
SMO 2015   07  09  12    00    18.41
SMO 2015   07  09  12    05    18.71
SMO 2015   07  09  12    10    17.99
SMO 2015   07  09  12    15    17.85
SMO 2015   07  09  12    20    18.13
SMO 2015   07  09  12    25    18.41
SMO 2015   07  09  12    30    17.68
SMO 2015   07  09  12    35    17.29
SMO 2015   07  09  12    40    18.27
SMO 2015   07  09  12    45    18.39
SMO 2015   07  09  12    50    17.43
SMO 2015   07  09  12    55    17.33
SMO 2015   07  09  13    00    18.08
SMO 2015   07  09  13    05    18.84
SMO 2015   07  09  13    10    18.09
SMO 2015   07  09  13    15    17.59
SMO 2015   07  09  13    20    17.61
SMO 2015   07  09  13    25    18.43
SMO 2015   07  09  13    30    18.16
SMO 2015   07  09  13    35    17.66
SMO 2015   07  09  13    40    17.89
SMO 2015   07  09  13    45    17.48
SMO 2015   07  09  13    50    17.82
SMO 2015   07  09  13    55    18.57
SMO 2015   07  09  14    00    17.67
SMO 2015   07  09  14    05    18.69
SMO 2015   07  09  14    10    18.40
SMO 2015   07  09  14    15    17.55
SMO 2015   07  09  14    20    18.21
SMO 2015   07  09  14    25    17.98
SMO 2015   07  09  14    30    18.60
SMO 2015   07  09  14    35    17.75
SMO 2015   07  09  14    40    17.70
SMO 2015   07  09  14    45    18.18
SMO 2015   07  09  14    50    18.39
SMO 2015   07  09  14    55    17.54
SMO 2015   07  09  15    00    18.20
SMO 2015   07  09  15    05    17.60
SMO 2015   07  09  15    10    17.86
SMO 2015   07  09  15    15    17.91
SMO 2015   07  09  15    20    18.05
SMO 2015   07  09  15    25    17.93
SMO 2015   07  09  15    30    18.32
SMO 2015   07  09  15    35    17.74
SMO 2015   07  09  15    40    18.00
SMO 2015   07  09  15    45    17.68
SMO 2015   07  09  15    50    18.31
SMO 2015   07  09  15    55    18.09
SMO 2015   07  09  16    00    17.86
SMO 2015   07  09  16    05    17.65
SMO 2015   07  09  16    10    18.12
SMO 2015   07  09  16    15    17.66
SMO 2015   07  09  16    20    17.88
SMO 2015   07  09  16    25    17.65
SMO 2015   07  09  16    30    18.06
SMO 2015   07  09  16    35    18.26
SMO 2015   07  09  16    40    18.09
SMO 2015   07  09  16    45    17.54
SMO 2015   07  09  16    50    18.06
SMO 2015   07  09  16    55    17.60
SMO 2015   07  09  17    00    18.09
SMO 2015   07  09  17    05    17.58
SMO 2015   07  09  17    10    18.46
SMO 2015   07  09  17    15    17.45
SMO 2015   07  09  17    20    17.48
SMO 2015   07  09  17    25    17.08
SMO 2015   07  09  17    30    17.86
SMO 2015   07  09  17    35    17.77
SMO 2015   07  09  17    40    17.29
SMO 2015   07  09  17    45    17.38
SMO 2015   07  09  17    50    16.67
SMO 2015   07  09  17    55    17.82
SMO 2015   07  09  18    00    17.37
SMO 2015   07  09  18    05    17.08
SMO 2015   07  09  18    10    17.19
SMO 2015   07  09  18    15    17.10
SMO 2015   07  09  18    20    16.89
SMO 2015   07  09  18    25    17.08
SMO 2015   07  09  18    30    16.85
SMO 2015   07  09  18    35    16.79
SMO 2015   07  09  18    40    16.58
SMO 2015   07  09  18    45    15.33
SMO 2015   07  09  18    50    15.88
SMO 2015   07  09  18    55    17.00
SMO 2015   07  09  19    00    16.61
SMO 2015   07  09  19    05    17.18
SMO 2015   07  09  19    10    17.23
SMO 2015   07  09  19    15    16.95
SMO 2015   07  09  19    20    16.80
SMO 2015   07  09  19    25    16.52
SMO 2015   07  09  19    30    16.23
SMO 2015   07  09  19    35    16.24
SMO 2015   07  09  19    40    16.68
SMO 2015   07  09  19    45    17.06
SMO 2015   07  09  19    50    16.56
SMO 2015   07  09  19    55    17.04
SMO 2015   07  09  20    00    15.99
SMO 2015   07  09  20    05    17.21
SMO 2015   07  09  20    10    17.59
SMO 2015   07  09  20    15    17.37
SMO 2015   07  09  20    20    17.67
SMO 2015   07  09  20    25    17.42
SMO 2015   07  09  20    30    17.49
SMO 2015   07  09  20    35    17.51
SMO 2015   07  09  20    40    16.45
SMO 2015   07  09  20    45    16.35
SMO 2015   07  09  20    50    17.41
SMO 2015   07  09  20    55    17.18
SMO 2015   07  09  21    00    16.94
SMO 2015   07  09  21    05    17.01
SMO 2015   07  09  21    10    17.05
SMO 2015   07  09  21    15    17.69
SMO 2015   07  09  21    20    17.77
SMO 2015   07  09  21    25    17.52
SMO 2015   07  09  21    30    16.62
SMO 2015   07  09  21    35    16.06
SMO 2015   07  09  21    40    16.01
SMO 2015   07  09  21    45    16.38
SMO 2015   07  09  21    50    16.26
SMO 2015   07  09  21    55    16.03
SMO 2015   07  09  22    00    15.69
SMO 2015   07  09  22    05    16.54
SMO 2015   07  09  22    10    16.84
SMO 2015   07  09  22    15    16.71
SMO 2015   07  09  22    20    16.09
SMO 2015   07  09  22    25    15.98
SMO 2015   07  09  22    30    15.53
SMO 2015   07  09  22    35    16.25
SMO 2015   07  09  22    40    15.85
SMO 2015   07  09  22    45    16.04
SMO 2015   07  09  22    50    15.48
SMO 2015   07  09  22    55    15.19
SMO 2015   07  09  23    00    14.44
SMO 2015   07  09  23    05    15.20
SMO 2015   07  09  23    10    14.26
SMO 2015   07  09  23    15    13.37
SMO 2015   07  09  23    20    15.09
SMO 2015   07  09  23    25    14.11
SMO 2015   07  09  23    30    15.11
SMO 2015   07  09  23    35    13.64
SMO 2015   07  09  23    40    14.21
SMO 2015   07  09  23    45    14.47
SMO 2015   07  09  23    50    15.08
SMO 2015   07  09  23    55    15.11
SMO 2015   07  10  00    00    14.00
SMO 2015   07  10  00    05    14.84
SMO 2015   07  10  00    10    15.13
SMO 2015   07  10  00    15    14.16
SMO 2015   07  10  00    20    14.65
SMO 2015   07  10  00    25    14.62
SMO 2015   07  10  00    30    14.08
SMO 2015   07  10  00    35    13.70
SMO 2015   07  10  00    40    14.42
SMO 2015   07  10  00    45    13.63
SMO 2015   07  10  00    50    14.38
SMO 2015   07  10  00    55    15.09
SMO 2015   07  10  01    00    12.73
SMO 2015   07  10  01    05    13.03
SMO 2015   07  10  01    10    13.88
SMO 2015   07  10  01    15    13.65
SMO 2015   07  10  01    20    13.36
SMO 2015   07  10  01    25    13.09
SMO 2015   07  10  01    30    12.76
SMO 2015   07  10  01    35    13.15
SMO 2015   07  10  01    40    13.83
SMO 2015   07  10  01    45    13.23
SMO 2015   07  10  01    50    13.29
SMO 2015   07  10  01    55    14.08
SMO 2015   07  10  02    00    13.95
SMO 2015   07  10  02    05    13.30
SMO 2015   07  10  02    10    13.89
SMO 2015   07  10  02    15    13.09
SMO 2015   07  10  02    20    14.06
SMO 2015   07  10  02    25    13.73
SMO 2015   07  10  02    30    13.56
SMO 2015   07  10  02    35    13.28
SMO 2015   07  10  02    40    13.63
SMO 2015   07  10  02    45    14.45
SMO 2015   07  10  02    50    14.62
SMO 2015   07  10  02    55    14.30
SMO 2015   07  10  03    00    13.52
SMO 2015   07  10  03    05    13.99
SMO 2015   07  10  03    10    13.91
SMO 2015   07  10  03    15    13.75
SMO 2015   07  10  03    20    13.59
SMO 2015   07  10  03    25    13.60
SMO 2015   07  10  03    30    14.62
SMO 2015   07  10  03    35    14.11
SMO 2015   07  10  03    40    13.63
SMO 2015   07  10  03    45    13.88
SMO 2015   07  10  03    50    14.38
SMO 2015   07  10  03    55    14.70
SMO 2015   07  10  04    00    13.66
SMO 2015   07  10  04    05    14.55
SMO 2015   07  10  04    10    14.05
SMO 2015   07  10  04    15    13.67
SMO 2015   07  10  04    25    13.85
SMO 2015   07  10  04    30    13.61
SMO 2015   07  10  04    35    14.61
SMO 2015   07  10  04    40    13.60
SMO 2015   07  10  04    45    12.93
SMO 2015   07  10  04    50    12.85
SMO 2015   07  10  04    55    13.68
SMO 2015   07  10  05    00    13.43
SMO 2015   07  10  05    05    14.66
SMO 2015   07  10  05    10    14.76
SMO 2015   07  10  05    15    14.80
SMO 2015   07  10  05    20    14.75
SMO 2015   07  10  05    25    15.03
SMO 2015   07  10  05    30    16.61
SMO 2015   07  10  05    35    15.24
SMO 2015   07  10  05    40    15.87
SMO 2015   07  10  05    45    15.16
SMO 2015   07  10  05    50    15.51
SMO 2015   07  10  05    55    14.41
SMO 2015   07  10  06    00    15.60
SMO 2015   07  10  06    05    14.37
SMO 2015   07  10  06    10    16.20
SMO 2015   07  10  06    15    16.84
SMO 2015   07  10  06    20    16.09
SMO 2015   07  10  06    25    16.39
SMO 2015   07  10  06    30    16.07
SMO 2015   07  10  06    35    16.04
SMO 2015   07  10  06    40    16.18
SMO 2015   07  10  06    45    15.10
SMO 2015   07  10  06    50    16.18
SMO 2015   07  10  06    55    15.82
SMO 2015   07  10  07    00    16.19
SMO 2015   07  10  07    05    16.31
SMO 2015   07  10  07    10    15.74
SMO 2015   07  10  07    15    14.46
SMO 2015   07  10  07    20    13.99
SMO 2015   07  10  07    25    15.36
SMO 2015   07  10  07    30    15.22
SMO 2015   07  10  07    35    15.16
SMO 2015   07  10  07    40    14.78
SMO 2015   07  10  07    45    15.18
SMO 2015   07  10  07    50    15.35
SMO 2015   07  10  07    55    16.09
SMO 2015   07  10  08    00    14.96
SMO 2015   07  10  08    05    16.14
SMO 2015   07  10  08    10    16.73
SMO 2015   07  10  08    15    16.82
SMO 2015   07  10  08    20    16.41
SMO 2015   07  10  08    25    16.31
SMO 2015   07  10  08    30    16.04
SMO 2015   07  10  08    35    15.84
SMO 2015   07  10  08    40    16.41
SMO 2015   07  10  08    45    17.08
SMO 2015   07  10  08    50    16.15
SMO 2015   07  10  08    55    15.52
