These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

 YEAR  MON  DAY  HR  O3(PPB)
BMW 2017   01  03  02     41.34
BMW 2017   01  03  03     40.71
BMW 2017   01  03  04     40.94
BMW 2017   01  03  05     41.56
BMW 2017   01  03  06     41.37
BMW 2017   01  03  07     40.87
BMW 2017   01  03  08     40.62
BMW 2017   01  03  09     40.60
BMW 2017   01  03  10     40.95
BMW 2017   01  03  11     41.12
BMW 2017   01  03  12     41.30
BMW 2017   01  03  13     40.70
BMW 2017   01  03  14     41.26
BMW 2017   01  03  15     41.46
BMW 2017   01  03  16     41.56
BMW 2017   01  03  17     40.84
BMW 2017   01  03  18     40.50
BMW 2017   01  03  19     40.48
BMW 2017   01  03  20     40.48
BMW 2017   01  03  21     40.38
BMW 2017   01  03  22     40.14
BMW 2017   01  03  23     40.23
BMW 2017   01  04  00     40.43
BMW 2017   01  04  01     40.32
BMW 2017   01  04  02     40.40
BMW 2017   01  04  03     40.47
BMW 2017   01  04  04     41.24
BMW 2017   01  04  05     41.25
BMW 2017   01  04  06     41.32
BMW 2017   01  04  07     41.38
BMW 2017   01  04  08     41.34
BMW 2017   01  04  09     41.23
BMW 2017   01  04  10     41.67
BMW 2017   01  04  11     41.19
BMW 2017   01  04  12     40.73
BMW 2017   01  04  13     40.46
BMW 2017   01  04  14     40.68
BMW 2017   01  04  15     39.99
BMW 2017   01  04  16     39.51
BMW 2017   01  04  17     39.57
BMW 2017   01  04  18     39.41
BMW 2017   01  04  19     39.31
BMW 2017   01  04  20     38.97
BMW 2017   01  04  21     39.26
BMW 2017   01  04  22     39.84
BMW 2017   01  04  23     38.72
BMW 2017   01  05  00     38.55
BMW 2017   01  05  01     38.54
BMW 2017   01  05  02     38.37
BMW 2017   01  05  03     38.30
BMW 2017   01  05  04     38.33
BMW 2017   01  05  05     38.10
BMW 2017   01  05  06     37.96
BMW 2017   01  05  07     37.99
BMW 2017   01  05  08     37.88
BMW 2017   01  05  09     37.82
BMW 2017   01  05  10     37.48
BMW 2017   01  05  11     37.41
BMW 2017   01  05  12     37.60
BMW 2017   01  05  13     36.66
BMW 2017   01  05  14     36.86
BMW 2017   01  05  15     36.45
BMW 2017   01  05  16     36.66
BMW 2017   01  05  17     36.56
BMW 2017   01  05  18     43.79
BMW 2017   01  05  19     39.44
BMW 2017   01  05  20     40.12
BMW 2017   01  05  21     41.06
BMW 2017   01  05  22     33.92
BMW 2017   01  05  23     38.49
BMW 2017   01  06  00     41.83
BMW 2017   01  06  01     43.07
BMW 2017   01  06  02     43.42
BMW 2017   01  06  03     43.38
BMW 2017   01  06  04     43.70
BMW 2017   01  06  05     42.48
BMW 2017   01  06  06     42.85
BMW 2017   01  06  07     42.87
BMW 2017   01  06  08     42.90
BMW 2017   01  06  09     42.61
BMW 2017   01  06  10     42.61
BMW 2017   01  06  11     41.80
BMW 2017   01  06  12     39.88
BMW 2017   01  06  13     38.89
BMW 2017   01  06  14     38.54
BMW 2017   01  06  15     37.74
BMW 2017   01  06  16     38.07
BMW 2017   01  06  17     37.52
BMW 2017   01  06  18     36.07
BMW 2017   01  06  19     35.12
BMW 2017   01  06  20     33.64
BMW 2017   01  06  21     32.96
BMW 2017   01  06  22     33.32
BMW 2017   01  06  23     34.49
BMW 2017   01  07  00     35.80
BMW 2017   01  07  01     37.70
BMW 2017   01  07  02     38.08
BMW 2017   01  07  03     38.32
BMW 2017   01  07  04     38.20
BMW 2017   01  07  05     38.76
BMW 2017   01  07  06     38.52
BMW 2017   01  07  07     37.99
BMW 2017   01  07  08     37.87
BMW 2017   01  07  09     37.46
BMW 2017   01  07  10     36.73
BMW 2017   01  07  11     35.65
BMW 2017   01  07  12     33.88
BMW 2017   01  07  13     30.91
BMW 2017   01  07  14     28.92
BMW 2017   01  07  15     28.26
BMW 2017   01  07  16     27.05
BMW 2017   01  07  17     26.12
BMW 2017   01  07  18     25.67
BMW 2017   01  07  19     25.88
BMW 2017   01  07  20     24.96
BMW 2017   01  07  21     24.46
BMW 2017   01  07  22     23.87
BMW 2017   01  07  23     24.64
BMW 2017   01  08  00     24.06
BMW 2017   01  08  01     23.95
BMW 2017   01  08  02     24.33
BMW 2017   01  08  03     25.06
BMW 2017   01  08  04     25.34
BMW 2017   01  08  05     25.25
BMW 2017   01  08  06     25.50
BMW 2017   01  08  07     25.53
BMW 2017   01  08  08     25.67
BMW 2017   01  08  09     25.81
BMW 2017   01  08  10     26.07
BMW 2017   01  08  11     26.59
BMW 2017   01  08  12     37.81
BMW 2017   01  08  13     35.30
BMW 2017   01  08  14     34.41
BMW 2017   01  08  15     34.07
BMW 2017   01  08  16     33.62
BMW 2017   01  08  17     37.15
BMW 2017   01  08  18     37.77
BMW 2017   01  08  19     39.32
BMW 2017   01  08  20     39.99
BMW 2017   01  08  21     39.80
BMW 2017   01  08  22     40.41
BMW 2017   01  08  23     40.99
BMW 2017   01  09  00     42.20
BMW 2017   01  09  01     44.14
BMW 2017   01  09  02     45.88
BMW 2017   01  09  03     47.02
BMW 2017   01  09  04     46.96
BMW 2017   01  09  05     46.90
BMW 2017   01  09  06     46.36
BMW 2017   01  09  07     45.19
BMW 2017   01  09  08     45.04
BMW 2017   01  09  09     44.48
BMW 2017   01  09  10     43.79
BMW 2017   01  09  11     42.59
BMW 2017   01  09  12     41.37
BMW 2017   01  09  13     40.59
BMW 2017   01  09  14     42.11
BMW 2017   01  09  15     42.51
BMW 2017   01  09  16     43.60
BMW 2017   01  09  17     43.39
BMW 2017   01  09  18     43.53
BMW 2017   01  09  19     42.94
BMW 2017   01  09  20     43.08
BMW 2017   01  09  21     43.19
BMW 2017   01  09  22     43.33
BMW 2017   01  09  23     42.25
BMW 2017   01  10  00     42.55
BMW 2017   01  10  01     42.46
BMW 2017   01  10  02     42.41
BMW 2017   01  10  03     42.14
BMW 2017   01  10  04     42.65
BMW 2017   01  10  05     43.07
BMW 2017   01  10  06     43.54
BMW 2017   01  10  07     44.02
BMW 2017   01  10  08     44.92
BMW 2017   01  10  09     45.80
BMW 2017   01  10  10     45.90
BMW 2017   01  10  11     45.71
BMW 2017   01  10  12     45.49
BMW 2017   01  10  13     44.96
BMW 2017   01  10  14     45.05
BMW 2017   01  10  15     45.04
BMW 2017   01  10  16     44.03
BMW 2017   01  10  17     43.04
BMW 2017   01  10  18     42.13
BMW 2017   01  10  19     41.57
BMW 2017   01  10  20     40.96
BMW 2017   01  10  21     41.20
BMW 2017   01  10  22     42.39
BMW 2017   01  10  23     43.71
BMW 2017   01  11  00     44.20
BMW 2017   01  11  01     44.11
BMW 2017   01  11  02   9999.99
BMW 2017   01  11  03   9999.99
BMW 2017   01  11  04   9999.99
BMW 2017   01  11  05   9999.99
BMW 2017   01  11  06     43.25
BMW 2017   01  11  07     43.36
BMW 2017   01  11  08     43.14
BMW 2017   01  11  09   9999.99
BMW 2017   01  11  10   9999.99
BMW 2017   01  11  11   9999.99
BMW 2017   01  11  12   9999.99
BMW 2017   01  11  13     42.69
BMW 2017   01  11  14     42.55
BMW 2017   01  11  15     43.33
BMW 2017   01  11  16     43.82
BMW 2017   01  11  17     43.50
BMW 2017   01  11  18     43.81
BMW 2017   01  11  19     44.40
BMW 2017   01  11  20     44.45
BMW 2017   01  11  21     45.42
BMW 2017   01  11  22     46.41
BMW 2017   01  11  23     47.08
BMW 2017   01  12  00     47.06
BMW 2017   01  12  01     46.28
BMW 2017   01  12  02     46.04
BMW 2017   01  12  03     45.32
BMW 2017   01  12  04     45.16
BMW 2017   01  12  05     45.75
BMW 2017   01  12  06     46.65
BMW 2017   01  12  07     46.59
BMW 2017   01  12  08     46.96
BMW 2017   01  12  09   9999.99
BMW 2017   01  12  10     46.03
BMW 2017   01  12  11     45.59
BMW 2017   01  12  12     44.59
BMW 2017   01  12  13     44.21
BMW 2017   01  12  14     43.72
BMW 2017   01  12  15     43.32
BMW 2017   01  12  16     42.76
BMW 2017   01  12  17     39.05
BMW 2017   01  12  18   9999.99
BMW 2017   01  12  19     42.43
BMW 2017   01  12  20     42.42
BMW 2017   01  12  21     43.13
BMW 2017   01  12  22     43.35
BMW 2017   01  12  23     44.28
BMW 2017   01  13  00     44.10
BMW 2017   01  13  01   9999.99
BMW 2017   01  13  02   9999.99
BMW 2017   01  13  03   9999.99
BMW 2017   01  13  04   9999.99
BMW 2017   01  13  05   9999.99
BMW 2017   01  13  06   9999.99
BMW 2017   01  13  07     44.46
BMW 2017   01  13  08     45.32
BMW 2017   01  13  09     43.72
BMW 2017   01  13  10     45.51
BMW 2017   01  13  11     44.87
BMW 2017   01  13  12     40.39
BMW 2017   01  13  13     39.71
BMW 2017   01  13  14     41.55
BMW 2017   01  13  15     43.57
BMW 2017   01  13  16     44.10
BMW 2017   01  13  17     43.81
BMW 2017   01  13  18     43.66
BMW 2017   01  13  19     42.31
BMW 2017   01  13  20     43.98
BMW 2017   01  13  21     43.28
BMW 2017   01  13  22     41.32
BMW 2017   01  13  23     42.45
BMW 2017   01  14  00     43.11
BMW 2017   01  14  01     44.18
BMW 2017   01  14  02     44.89
BMW 2017   01  14  03     43.44
BMW 2017   01  14  04     44.44
BMW 2017   01  14  05     44.86
BMW 2017   01  14  06     45.69
BMW 2017   01  14  07     45.69
BMW 2017   01  14  08     45.34
BMW 2017   01  14  09     44.15
BMW 2017   01  14  10     43.51
BMW 2017   01  14  11     43.12
BMW 2017   01  14  12     42.34
BMW 2017   01  14  13     42.11
BMW 2017   01  14  14     41.78
BMW 2017   01  14  15     40.01
BMW 2017   01  14  16     36.89
BMW 2017   01  14  17     37.07
BMW 2017   01  14  18     38.02
BMW 2017   01  14  19     38.84
BMW 2017   01  14  20     38.71
BMW 2017   01  14  21     38.78
BMW 2017   01  14  22     41.30
BMW 2017   01  14  23     42.54
BMW 2017   01  15  00     42.25
BMW 2017   01  15  01     42.30
BMW 2017   01  15  02     42.00
BMW 2017   01  15  03     41.58
BMW 2017   01  15  04     39.50
BMW 2017   01  15  05     41.06
BMW 2017   01  15  06     40.66
BMW 2017   01  15  07     40.82
BMW 2017   01  15  08     41.68
BMW 2017   01  15  09     43.27
BMW 2017   01  15  10     44.09
BMW 2017   01  15  11     43.96
BMW 2017   01  15  12     42.74
BMW 2017   01  15  13     42.82
BMW 2017   01  15  14     42.65
BMW 2017   01  15  15     42.13
BMW 2017   01  15  16     41.70
BMW 2017   01  15  17     41.47
BMW 2017   01  15  18     40.74
BMW 2017   01  15  19     40.32
BMW 2017   01  15  20     39.83
BMW 2017   01  15  21     39.77
BMW 2017   01  15  22     40.09
BMW 2017   01  15  23     42.11
BMW 2017   01  16  00     42.08
BMW 2017   01  16  01     41.74
BMW 2017   01  16  02     40.23
BMW 2017   01  16  03     40.32
BMW 2017   01  16  04     39.70
BMW 2017   01  16  05     40.36
BMW 2017   01  16  06     40.69
BMW 2017   01  16  07     40.93
BMW 2017   01  16  08     41.49
BMW 2017   01  16  09     42.05
BMW 2017   01  16  10     41.97
BMW 2017   01  16  11     42.38
BMW 2017   01  16  12     40.87
BMW 2017   01  16  13     40.47
BMW 2017   01  16  14     40.25
BMW 2017   01  16  15     43.22
BMW 2017   01  16  16   9999.99
BMW 2017   01  16  17     43.67
BMW 2017   01  16  18     43.48
BMW 2017   01  16  19     43.02
BMW 2017   01  16  20     43.42
BMW 2017   01  16  21     43.41
BMW 2017   01  16  22     43.17
BMW 2017   01  16  23     43.77
BMW 2017   01  17  00   9999.99
BMW 2017   01  17  01   9999.99
BMW 2017   01  17  02     44.84
BMW 2017   01  17  03     45.17
BMW 2017   01  17  04     44.99
BMW 2017   01  17  05     45.25
BMW 2017   01  17  06     43.99
BMW 2017   01  17  07     43.03
BMW 2017   01  17  08     44.27
BMW 2017   01  17  09     43.80
BMW 2017   01  17  10     42.19
BMW 2017   01  17  11     43.64
BMW 2017   01  17  12     41.29
BMW 2017   01  17  13     33.62
BMW 2017   01  17  14     37.11
BMW 2017   01  17  15     44.37
BMW 2017   01  17  16     46.01
BMW 2017   01  17  17     47.09
BMW 2017   01  17  18     47.65
BMW 2017   01  17  19     49.94
BMW 2017   01  17  20     48.64
BMW 2017   01  17  21     46.25
BMW 2017   01  17  22     46.28
BMW 2017   01  17  23     46.63
BMW 2017   01  18  00     46.61
BMW 2017   01  18  01     46.35
BMW 2017   01  18  02     46.39
BMW 2017   01  18  03     46.28
BMW 2017   01  18  04     45.99
BMW 2017   01  18  05     45.52
BMW 2017   01  18  06     45.15
BMW 2017   01  18  07     44.83
BMW 2017   01  18  08     44.40
BMW 2017   01  18  09     44.09
BMW 2017   01  18  10     43.77
BMW 2017   01  18  11     43.56
BMW 2017   01  18  12     43.36
BMW 2017   01  18  13     42.52
BMW 2017   01  18  14     42.09
BMW 2017   01  18  15     41.68
BMW 2017   01  18  16     41.17
BMW 2017   01  18  17     41.05
BMW 2017   01  18  18     40.33
BMW 2017   01  18  19     40.24
BMW 2017   01  18  20     41.14
BMW 2017   01  18  21     41.03
BMW 2017   01  18  22     40.15
BMW 2017   01  18  23     39.41
BMW 2017   01  19  00     39.72
BMW 2017   01  19  01     40.01
BMW 2017   01  19  02     39.53
BMW 2017   01  19  03     38.82
BMW 2017   01  19  04     38.77
BMW 2017   01  19  05     38.42
BMW 2017   01  19  06     38.86
BMW 2017   01  19  07     42.60
BMW 2017   01  19  08     41.89
BMW 2017   01  19  09     42.88
BMW 2017   01  19  10     44.37
BMW 2017   01  19  11     43.99
BMW 2017   01  19  12     43.47
BMW 2017   01  19  13     44.90
BMW 2017   01  19  14     43.70
BMW 2017   01  19  15     43.44
BMW 2017   01  19  16     44.14
BMW 2017   01  19  17     43.95
BMW 2017   01  19  18     44.33
BMW 2017   01  19  19     43.85
BMW 2017   01  19  20     43.58
BMW 2017   01  19  21     43.21
BMW 2017   01  19  22     43.44
BMW 2017   01  19  23     43.55
BMW 2017   01  20  00     43.56
BMW 2017   01  20  01     43.59
BMW 2017   01  20  02     43.59
BMW 2017   01  20  03     44.12
BMW 2017   01  20  04     44.07
BMW 2017   01  20  05     44.34
BMW 2017   01  20  06     44.42
BMW 2017   01  20  07     43.81
BMW 2017   01  20  08     43.40
BMW 2017   01  20  09     43.50
BMW 2017   01  20  10     43.71
BMW 2017   01  20  11     43.42
BMW 2017   01  20  12     43.23
BMW 2017   01  20  13     43.56
BMW 2017   01  20  14     43.95
BMW 2017   01  20  15     43.51
BMW 2017   01  20  16     43.55
BMW 2017   01  20  17     43.94
BMW 2017   01  20  18     44.52
BMW 2017   01  20  19     44.34
BMW 2017   01  20  20     44.33
BMW 2017   01  20  21     44.84
BMW 2017   01  20  22     44.96
BMW 2017   01  20  23     44.70
BMW 2017   01  21  00     45.18
BMW 2017   01  21  01     45.22
BMW 2017   01  21  02     45.70
BMW 2017   01  21  03     45.47
BMW 2017   01  21  04     45.44
BMW 2017   01  21  05     45.47
BMW 2017   01  21  06     45.43
BMW 2017   01  21  07     45.58
BMW 2017   01  21  08     45.29
BMW 2017   01  21  09     45.00
BMW 2017   01  21  10     44.84
BMW 2017   01  21  11     44.44
BMW 2017   01  21  12     43.53
BMW 2017   01  21  13     42.87
BMW 2017   01  21  14     42.32
BMW 2017   01  21  15     41.80
BMW 2017   01  21  16     41.44
BMW 2017   01  21  17     41.60
BMW 2017   01  21  18     41.96
BMW 2017   01  21  19     42.49
BMW 2017   01  21  20     42.23
BMW 2017   01  21  21     43.10
BMW 2017   01  21  22     42.96
BMW 2017   01  21  23     41.12
BMW 2017   01  22  00     37.30
BMW 2017   01  22  01     39.59
BMW 2017   01  22  02     40.07
BMW 2017   01  22  03     39.98
BMW 2017   01  22  04     39.92
BMW 2017   01  22  05     41.44
BMW 2017   01  22  06     40.19
BMW 2017   01  22  07     40.63
BMW 2017   01  22  08     39.96
BMW 2017   01  22  09     40.41
BMW 2017   01  22  10     41.43
BMW 2017   01  22  11     41.47
BMW 2017   01  22  12     41.00
BMW 2017   01  22  13     41.02
BMW 2017   01  22  14     40.98
BMW 2017   01  22  15     40.71
BMW 2017   01  22  16     40.19
BMW 2017   01  22  17     40.89
BMW 2017   01  22  18     40.41
BMW 2017   01  22  19     40.83
BMW 2017   01  22  20     41.74
BMW 2017   01  22  21     42.40
BMW 2017   01  22  22     41.38
BMW 2017   01  22  23     40.34
BMW 2017   01  23  00     39.57
BMW 2017   01  23  01     37.44
BMW 2017   01  23  02     36.21
BMW 2017   01  23  03     36.27
BMW 2017   01  23  04     36.22
BMW 2017   01  23  05     34.79
BMW 2017   01  23  06     32.86
BMW 2017   01  23  07     32.08
BMW 2017   01  23  08     32.74
BMW 2017   01  23  09     33.15
BMW 2017   01  23  10     33.17
BMW 2017   01  23  11     33.73
BMW 2017   01  23  12     33.57
BMW 2017   01  23  13     33.20
BMW 2017   01  23  14     33.03
BMW 2017   01  23  15     32.67
BMW 2017   01  23  16     32.60
BMW 2017   01  23  17   9999.99
BMW 2017   01  23  18   9999.99
BMW 2017   01  23  19     31.30
BMW 2017   01  23  20     30.92
BMW 2017   01  23  21     30.79
BMW 2017   01  23  22     32.02
BMW 2017   01  23  23     33.17
BMW 2017   01  24  00     33.25
BMW 2017   01  24  01     33.26
BMW 2017   01  24  02     33.27
BMW 2017   01  24  03     33.29
BMW 2017   01  24  04     34.25
BMW 2017   01  24  05     34.79
BMW 2017   01  24  06     34.74
BMW 2017   01  24  07     35.51
BMW 2017   01  24  08     36.72
BMW 2017   01  24  09     36.90
BMW 2017   01  24  10     36.33
BMW 2017   01  24  11     35.83
BMW 2017   01  24  12     37.20
BMW 2017   01  24  13     53.51
BMW 2017   01  24  14     55.57
BMW 2017   01  24  15     58.45
BMW 2017   01  24  16     59.50
BMW 2017   01  24  17     57.93
BMW 2017   01  24  18     57.79
BMW 2017   01  24  19     56.80
BMW 2017   01  24  20     55.04
BMW 2017   01  24  21     53.42
BMW 2017   01  24  22     54.42
BMW 2017   01  24  23     51.18
BMW 2017   01  25  00     47.08
BMW 2017   01  25  01     46.60
BMW 2017   01  25  02     46.60
BMW 2017   01  25  03     43.17
BMW 2017   01  25  04     38.69
BMW 2017   01  25  05     39.21
BMW 2017   01  25  06     40.52
BMW 2017   01  25  07     42.62
BMW 2017   01  25  08     41.23
BMW 2017   01  25  09     42.25
BMW 2017   01  25  10     39.83
BMW 2017   01  25  11     38.30
BMW 2017   01  25  12     40.09
BMW 2017   01  25  13     42.98
BMW 2017   01  25  14     44.90
BMW 2017   01  25  15     45.94
BMW 2017   01  25  16     46.78
BMW 2017   01  25  17     46.04
BMW 2017   01  25  18     46.32
BMW 2017   01  25  19     47.06
BMW 2017   01  25  20     47.54
BMW 2017   01  25  21     47.22
BMW 2017   01  25  22     46.61
BMW 2017   01  25  23     46.08
BMW 2017   01  26  00     45.63
BMW 2017   01  26  01     45.61
BMW 2017   01  26  02     45.65
BMW 2017   01  26  03     46.32
BMW 2017   01  26  04     47.24
BMW 2017   01  26  05     48.18
BMW 2017   01  26  06     48.56
BMW 2017   01  26  07     48.39
BMW 2017   01  26  08     48.68
BMW 2017   01  26  09     49.01
BMW 2017   01  26  10     49.10
BMW 2017   01  26  11     49.73
BMW 2017   01  26  12     49.94
BMW 2017   01  26  13     48.70
BMW 2017   01  26  14     47.59
BMW 2017   01  26  15     46.34
BMW 2017   01  26  16     45.69
BMW 2017   01  26  17     45.26
BMW 2017   01  26  18     44.51
BMW 2017   01  26  19     43.87
BMW 2017   01  26  20     43.76
BMW 2017   01  26  21     43.53
BMW 2017   01  26  22     44.22
BMW 2017   01  26  23     44.26
BMW 2017   01  27  00     43.97
BMW 2017   01  27  01     43.56
BMW 2017   01  27  02     43.45
BMW 2017   01  27  03     43.95
BMW 2017   01  27  04     44.42
BMW 2017   01  27  05     45.90
BMW 2017   01  27  06     45.83
BMW 2017   01  27  07     45.41
BMW 2017   01  27  08     45.03
BMW 2017   01  27  09     44.46
BMW 2017   01  27  10     43.79
BMW 2017   01  27  11     44.07
BMW 2017   01  27  12     43.42
BMW 2017   01  27  13     43.03
BMW 2017   01  27  14     42.32
BMW 2017   01  27  15     41.68
BMW 2017   01  27  16     41.16
BMW 2017   01  27  17     40.46
BMW 2017   01  27  18     40.38
BMW 2017   01  27  19     39.61
BMW 2017   01  27  20     39.67
BMW 2017   01  27  21     39.12
BMW 2017   01  27  22     39.81
BMW 2017   01  27  23     39.88
BMW 2017   01  28  00     39.52
BMW 2017   01  28  01     39.10
BMW 2017   01  28  02     39.33
BMW 2017   01  28  03     42.96
BMW 2017   01  28  04     40.60
BMW 2017   01  28  05     41.34
BMW 2017   01  28  06     43.62
BMW 2017   01  28  07     44.73
BMW 2017   01  28  08     47.10
BMW 2017   01  28  09     48.31
BMW 2017   01  28  10     50.09
BMW 2017   01  28  11     51.15
BMW 2017   01  28  12     50.93
BMW 2017   01  28  13     50.89
BMW 2017   01  28  14     51.06
BMW 2017   01  28  15     50.84
BMW 2017   01  28  16     50.34
BMW 2017   01  28  17     50.11
BMW 2017   01  28  18     49.92
BMW 2017   01  28  19     49.71
BMW 2017   01  28  20     49.46
BMW 2017   01  28  21     49.33
BMW 2017   01  28  22     49.42
BMW 2017   01  28  23     49.43
BMW 2017   01  29  00     49.19
BMW 2017   01  29  01     48.91
BMW 2017   01  29  02     48.37
BMW 2017   01  29  03     48.63
BMW 2017   01  29  04     48.52
BMW 2017   01  29  05     48.46
BMW 2017   01  29  06     48.37
BMW 2017   01  29  07     48.04
BMW 2017   01  29  08     47.88
BMW 2017   01  29  09     47.72
BMW 2017   01  29  10     47.35
BMW 2017   01  29  11     47.58
BMW 2017   01  29  12     47.20
BMW 2017   01  29  13     47.07
BMW 2017   01  29  14     47.12
BMW 2017   01  29  15     46.93
BMW 2017   01  29  16     46.62
BMW 2017   01  29  17     46.45
BMW 2017   01  29  18     46.16
BMW 2017   01  29  19     45.77
BMW 2017   01  29  20     45.79
BMW 2017   01  29  21     46.19
BMW 2017   01  29  22     45.88
BMW 2017   01  29  23     44.36
BMW 2017   01  30  00     41.32
BMW 2017   01  30  01     38.47
BMW 2017   01  30  02     35.79
BMW 2017   01  30  03     31.78
BMW 2017   01  30  04     31.97
BMW 2017   01  30  05     32.18
BMW 2017   01  30  06     42.27
BMW 2017   01  30  07     48.60
BMW 2017   01  30  08     50.48
BMW 2017   01  30  09     50.42
BMW 2017   01  30  10     51.81
BMW 2017   01  30  11     52.03
BMW 2017   01  30  12     50.80
BMW 2017   01  30  13     50.17
BMW 2017   01  30  14     51.09
BMW 2017   01  30  15     49.56
BMW 2017   01  30  16     49.50
BMW 2017   01  30  17     49.63
BMW 2017   01  30  18     50.37
BMW 2017   01  30  19     50.04
BMW 2017   01  30  20     50.03
BMW 2017   01  30  21     49.73
BMW 2017   01  30  22     50.14
BMW 2017   01  30  23     50.51
BMW 2017   01  31  00     49.71
BMW 2017   01  31  01     49.65
BMW 2017   01  31  02     50.27
BMW 2017   01  31  03     49.99
BMW 2017   01  31  04     48.40
BMW 2017   01  31  05     48.30
BMW 2017   01  31  06     48.19
BMW 2017   01  31  07     47.86
BMW 2017   01  31  08     49.03
BMW 2017   01  31  09     49.87
BMW 2017   01  31  10     49.24
BMW 2017   01  31  11     48.45
BMW 2017   01  31  12     47.88
BMW 2017   01  31  13     47.31
BMW 2017   01  31  14     46.68
BMW 2017   01  31  15   9999.99
BMW 2017   01  31  16   9999.99
BMW 2017   01  31  17     45.28
BMW 2017   01  31  18     45.45
BMW 2017   01  31  19     45.49
BMW 2017   01  31  20     45.64
BMW 2017   01  31  21     46.24
BMW 2017   01  31  22     46.74
BMW 2017   01  31  23     46.85
