These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

YEAR  MON  DAY  HR  O3(PPB)
BMW 2017   11  12  19     38.27
BMW 2017   11  12  20     38.86
BMW 2017   11  12  21     39.09
BMW 2017   11  12  22     26.62
BMW 2017   11  12  23     33.97
BMW 2017   11  13  00     38.50
BMW 2017   11  13  01     38.59
BMW 2017   11  13  02     36.35
BMW 2017   11  13  03     36.15
BMW 2017   11  13  04     36.42
BMW 2017   11  13  05     33.67
BMW 2017   11  13  06     26.58
BMW 2017   11  13  07     37.99
BMW 2017   11  13  08     38.52
BMW 2017   11  13  09     38.69
BMW 2017   11  13  10     38.61
BMW 2017   11  13  11     41.01
BMW 2017   11  13  12     37.62
BMW 2017   11  13  13     36.33
BMW 2017   11  13  14     35.31
BMW 2017   11  13  15     36.85
BMW 2017   11  13  16     37.70
BMW 2017   11  13  17     39.17
BMW 2017   11  13  18     37.74
BMW 2017   11  13  19     37.38
BMW 2017   11  13  20     38.49
BMW 2017   11  13  21     37.39
BMW 2017   11  13  22     36.06
BMW 2017   11  13  23     34.47
BMW 2017   11  14  00     35.28
BMW 2017   11  14  01     38.55
BMW 2017   11  14  02     39.05
BMW 2017   11  14  03     37.84
BMW 2017   11  14  04     37.20
BMW 2017   11  14  05     36.96
BMW 2017   11  14  06     36.92
BMW 2017   11  14  07     35.31
BMW 2017   11  14  08     33.90
BMW 2017   11  14  09     29.94
BMW 2017   11  14  10     27.84
BMW 2017   11  14  11     28.14
BMW 2017   11  14  12     28.30
BMW 2017   11  14  13     29.67
BMW 2017   11  14  14     32.29
BMW 2017   11  14  15     35.48
BMW 2017   11  14  16     35.13
BMW 2017   11  14  17     37.96
BMW 2017   11  14  18     36.31
BMW 2017   11  14  19     38.52
BMW 2017   11  14  20     38.92
BMW 2017   11  14  21     39.95
BMW 2017   11  14  22     40.69
BMW 2017   11  14  23     38.16
BMW 2017   11  15  00     39.48
BMW 2017   11  15  01     39.30
BMW 2017   11  15  02     32.16
BMW 2017   11  15  03     34.60
BMW 2017   11  15  04     34.50
BMW 2017   11  15  05     38.36
BMW 2017   11  15  06     41.20
BMW 2017   11  15  07     34.57
BMW 2017   11  15  08     33.24
BMW 2017   11  15  09     42.64
BMW 2017   11  15  10     43.01
BMW 2017   11  15  11     43.16
BMW 2017   11  15  12     42.25
BMW 2017   11  15  13     42.34
BMW 2017   11  15  14     42.53
BMW 2017   11  15  15     42.82
BMW 2017   11  15  16     42.85
BMW 2017   11  15  17     42.27
BMW 2017   11  15  18     42.65
BMW 2017   11  15  19     42.97
BMW 2017   11  15  20     43.61
BMW 2017   11  15  21     44.23
BMW 2017   11  15  22     45.37
BMW 2017   11  15  23     45.94
BMW 2017   11  16  00     46.09
BMW 2017   11  16  01     45.95
BMW 2017   11  16  02     46.10
BMW 2017   11  16  03     45.93
BMW 2017   11  16  04     43.23
BMW 2017   11  16  05     46.01
BMW 2017   11  16  06     45.94
BMW 2017   11  16  07     45.74
BMW 2017   11  16  08     45.79
BMW 2017   11  16  09     45.70
BMW 2017   11  16  10     45.74
BMW 2017   11  16  11     45.07
BMW 2017   11  16  12     42.65
BMW 2017   11  16  13     43.57
BMW 2017   11  16  14     42.81
BMW 2017   11  16  15     39.07
BMW 2017   11  16  16     41.18
BMW 2017   11  16  17     42.55
BMW 2017   11  16  18     38.06
BMW 2017   11  16  19     42.34
BMW 2017   11  16  20     42.37
BMW 2017   11  16  21     40.75
BMW 2017   11  16  22     40.21
BMW 2017   11  16  23     39.82
BMW 2017   11  17  00     42.02
BMW 2017   11  17  01     44.54
BMW 2017   11  17  02     45.02
BMW 2017   11  17  03     45.72
BMW 2017   11  17  04     45.97
BMW 2017   11  17  05     46.41
BMW 2017   11  17  06     46.81
BMW 2017   11  17  07     47.11
BMW 2017   11  17  08     47.53
BMW 2017   11  17  09     47.52
BMW 2017   11  17  10     47.15
BMW 2017   11  17  11     47.35
BMW 2017   11  17  12     47.17
BMW 2017   11  17  13     46.83
BMW 2017   11  17  14     46.38
BMW 2017   11  17  15     45.15
BMW 2017   11  17  16     44.15
BMW 2017   11  17  17     44.55
BMW 2017   11  17  18     43.13
BMW 2017   11  17  19     41.15
BMW 2017   11  17  20     44.03
BMW 2017   11  17  21     47.15
BMW 2017   11  17  22     45.23
BMW 2017   11  17  23     45.63
BMW 2017   11  18  00     45.99
BMW 2017   11  18  01     45.35
BMW 2017   11  18  02     48.13
BMW 2017   11  18  03     47.50
BMW 2017   11  18  04     46.50
BMW 2017   11  18  05     44.97
BMW 2017   11  18  06     44.49
BMW 2017   11  18  07     45.49
BMW 2017   11  18  08     45.42
BMW 2017   11  18  09     46.25
BMW 2017   11  18  10     46.07
BMW 2017   11  18  11     46.60
BMW 2017   11  18  12     45.47
BMW 2017   11  18  13     43.87
BMW 2017   11  18  14     43.88
BMW 2017   11  18  15     44.11
BMW 2017   11  18  16     44.77
BMW 2017   11  18  17     44.67
BMW 2017   11  18  18     45.27
BMW 2017   11  18  19     45.83
BMW 2017   11  18  20     45.24
BMW 2017   11  18  21     45.22
BMW 2017   11  18  22     44.54
BMW 2017   11  18  23     40.85
BMW 2017   11  19  00     46.04
BMW 2017   11  19  01     42.74
BMW 2017   11  19  02     42.91
BMW 2017   11  19  03     35.86
BMW 2017   11  19  04     45.17
BMW 2017   11  19  05     46.61
BMW 2017   11  19  06     48.55
BMW 2017   11  19  07     49.18
BMW 2017   11  19  08     49.35
BMW 2017   11  19  09     48.41
BMW 2017   11  19  10     48.39
BMW 2017   11  19  11     48.68
BMW 2017   11  19  12     49.06
BMW 2017   11  19  13     47.73
BMW 2017   11  19  14     46.45
BMW 2017   11  19  15     48.66
BMW 2017   11  19  16     49.36
BMW 2017   11  19  17     49.15
BMW 2017   11  19  18     48.51
BMW 2017   11  19  19     48.45
BMW 2017   11  19  20     48.54
BMW 2017   11  19  21     48.42
BMW 2017   11  19  22     48.23
BMW 2017   11  19  23     47.97
BMW 2017   11  20  00     47.86
BMW 2017   11  20  01     47.62
BMW 2017   11  20  02     46.22
BMW 2017   11  20  03     45.18
BMW 2017   11  20  04     45.42
BMW 2017   11  20  05     44.96
BMW 2017   11  20  06     44.29
BMW 2017   11  20  07     44.30
BMW 2017   11  20  08     44.29
BMW 2017   11  20  09     44.11
BMW 2017   11  20  10     43.98
BMW 2017   11  20  11     43.81
BMW 2017   11  20  12     43.42
BMW 2017   11  20  13     43.45
BMW 2017   11  20  14     42.08
BMW 2017   11  20  15     44.77
BMW 2017   11  20  16     44.30
BMW 2017   11  20  17     44.34
BMW 2017   11  20  18     44.05
BMW 2017   11  20  19     44.00
BMW 2017   11  20  20     44.06
BMW 2017   11  20  21     42.82
BMW 2017   11  20  22     43.39
BMW 2017   11  20  23     43.12
BMW 2017   11  21  00     43.89
BMW 2017   11  21  01     44.47
BMW 2017   11  21  02     43.64
BMW 2017   11  21  03     43.10
BMW 2017   11  21  04     42.52
BMW 2017   11  21  05     42.74
BMW 2017   11  21  06     42.95
BMW 2017   11  21  07     43.31
BMW 2017   11  21  08     44.14
BMW 2017   11  21  09     44.53
BMW 2017   11  21  10     44.85
BMW 2017   11  21  11     44.33
BMW 2017   11  21  12     42.67
BMW 2017   11  21  13     35.61
BMW 2017   11  21  14     40.18
BMW 2017   11  21  15     41.60
BMW 2017   11  21  16   9999.99
BMW 2017   11  21  17     41.84
BMW 2017   11  21  18     41.92
BMW 2017   11  21  19     42.18
BMW 2017   11  21  20     42.92
BMW 2017   11  21  21     42.85
BMW 2017   11  21  22     43.27
BMW 2017   11  21  23     44.25
BMW 2017   11  22  00     44.65
BMW 2017   11  22  01     44.68
BMW 2017   11  22  02     45.18
BMW 2017   11  22  03     45.40
BMW 2017   11  22  04     45.08
BMW 2017   11  22  05     45.51
BMW 2017   11  22  06     46.10
BMW 2017   11  22  07     45.32
BMW 2017   11  22  08     45.88
BMW 2017   11  22  09     45.57
BMW 2017   11  22  10     45.98
BMW 2017   11  22  11     45.26
BMW 2017   11  22  12     44.48
BMW 2017   11  22  13     44.10
BMW 2017   11  22  14     44.24
BMW 2017   11  22  15     43.19
BMW 2017   11  22  16     42.27
BMW 2017   11  22  17     40.84
BMW 2017   11  22  18     39.98
BMW 2017   11  22  19     39.03
BMW 2017   11  22  20     38.52
BMW 2017   11  22  21     38.04
BMW 2017   11  22  22     37.74
BMW 2017   11  22  23     37.20
BMW 2017   11  23  00     37.23
BMW 2017   11  23  01     38.31
BMW 2017   11  23  02     39.64
BMW 2017   11  23  03     41.33
BMW 2017   11  23  04     40.88
BMW 2017   11  23  05     40.63
BMW 2017   11  23  06     41.02
BMW 2017   11  23  07     39.85
BMW 2017   11  23  08     39.08
BMW 2017   11  23  09     37.90
BMW 2017   11  23  10     36.27
BMW 2017   11  23  11     34.00
BMW 2017   11  23  12     30.60
BMW 2017   11  23  13     28.64
BMW 2017   11  23  14     33.07
BMW 2017   11  23  15     35.73
BMW 2017   11  23  16     35.72
BMW 2017   11  23  17     36.62
BMW 2017   11  23  18     37.37
BMW 2017   11  23  19     38.08
BMW 2017   11  23  20     38.39
BMW 2017   11  23  21     38.35
BMW 2017   11  23  22     38.74
BMW 2017   11  23  23     38.75
BMW 2017   11  24  00     38.60
BMW 2017   11  24  01     37.78
BMW 2017   11  24  02     37.95
BMW 2017   11  24  03     37.94
BMW 2017   11  24  04     38.03
BMW 2017   11  24  05     38.03
BMW 2017   11  24  06     37.85
BMW 2017   11  24  07     37.84
BMW 2017   11  24  08     37.35
BMW 2017   11  24  09     38.18
BMW 2017   11  24  10     37.76
BMW 2017   11  24  11     37.85
BMW 2017   11  24  12     35.26
BMW 2017   11  24  13     35.31
BMW 2017   11  24  14     33.89
BMW 2017   11  24  15     36.00
BMW 2017   11  24  16     36.16
BMW 2017   11  24  17     38.21
BMW 2017   11  24  18     37.73
BMW 2017   11  24  19     37.41
BMW 2017   11  24  20     37.66
BMW 2017   11  24  21     38.28
BMW 2017   11  24  22     38.64
BMW 2017   11  24  23     39.60
BMW 2017   11  25  00     40.29
BMW 2017   11  25  01     40.23
BMW 2017   11  25  02     39.06
BMW 2017   11  25  03     38.36
BMW 2017   11  25  04     37.24
BMW 2017   11  25  05     36.59
BMW 2017   11  25  06     35.52
BMW 2017   11  25  07     34.62
BMW 2017   11  25  08     32.92
BMW 2017   11  25  09     32.39
BMW 2017   11  25  10     32.12
BMW 2017   11  25  11     31.49
BMW 2017   11  25  12     31.86
BMW 2017   11  25  13     31.52
BMW 2017   11  25  14     29.82
BMW 2017   11  25  15     28.83
BMW 2017   11  25  16     28.14
BMW 2017   11  25  17     26.66
BMW 2017   11  25  18     26.55
BMW 2017   11  25  19     26.42
BMW 2017   11  25  20     27.42
BMW 2017   11  25  21     30.45
BMW 2017   11  25  22     30.28
BMW 2017   11  25  23     28.70
BMW 2017   11  26  00     28.40
BMW 2017   11  26  01     28.34
BMW 2017   11  26  02     29.65
BMW 2017   11  26  03     32.53
BMW 2017   11  26  04     37.44
BMW 2017   11  26  05     43.03
BMW 2017   11  26  06     43.19
BMW 2017   11  26  07     42.71
BMW 2017   11  26  08     42.27
BMW 2017   11  26  09     42.09
BMW 2017   11  26  10     42.82
BMW 2017   11  26  11     43.33
BMW 2017   11  26  12     43.12
BMW 2017   11  26  13     43.09
BMW 2017   11  26  14     42.98
BMW 2017   11  26  15     42.61
BMW 2017   11  26  16     42.50
BMW 2017   11  26  17     42.38
BMW 2017   11  26  18     42.13
BMW 2017   11  26  19     42.10
BMW 2017   11  26  20     42.59
BMW 2017   11  26  21     43.12
BMW 2017   11  26  22     43.03
BMW 2017   11  26  23     42.94
BMW 2017   11  27  00     43.86
BMW 2017   11  27  01     44.12
BMW 2017   11  27  02     44.54
BMW 2017   11  27  03     45.40
BMW 2017   11  27  04     46.52
BMW 2017   11  27  05     46.69
BMW 2017   11  27  06     46.87
BMW 2017   11  27  07     47.37
BMW 2017   11  27  08     47.86
BMW 2017   11  27  09     47.92
BMW 2017   11  27  10     47.61
BMW 2017   11  27  11     46.91
BMW 2017   11  27  12     46.02
BMW 2017   11  27  13     45.58
BMW 2017   11  27  14     46.85
BMW 2017   11  27  15     44.95
BMW 2017   11  27  16     42.94
BMW 2017   11  27  17     45.84
BMW 2017   11  27  18   9999.99
BMW 2017   11  27  19     46.40
BMW 2017   11  27  20     46.84
BMW 2017   11  27  21     47.64
BMW 2017   11  27  22     49.13
BMW 2017   11  27  23     48.35
BMW 2017   11  28  00     48.02
BMW 2017   11  28  01     47.69
BMW 2017   11  28  02     46.44
BMW 2017   11  28  03     45.81
BMW 2017   11  28  04     45.50
BMW 2017   11  28  05     47.32
BMW 2017   11  28  06     48.30
BMW 2017   11  28  07     48.98
BMW 2017   11  28  08     49.02
BMW 2017   11  28  09     49.43
BMW 2017   11  28  10     49.78
BMW 2017   11  28  11     48.71
BMW 2017   11  28  12     47.31
BMW 2017   11  28  13     46.00
BMW 2017   11  28  14     45.25
BMW 2017   11  28  15     45.65
BMW 2017   11  28  16     45.88
BMW 2017   11  28  17     44.74
BMW 2017   11  28  18     45.14
BMW 2017   11  28  19     42.77
BMW 2017   11  28  20     43.51
BMW 2017   11  28  21     44.47
BMW 2017   11  28  22     45.30
BMW 2017   11  28  23     45.10
BMW 2017   11  29  00     44.96
BMW 2017   11  29  01     45.12
BMW 2017   11  29  02     45.35
BMW 2017   11  29  03     42.23
BMW 2017   11  29  04     44.81
BMW 2017   11  29  05     45.39
BMW 2017   11  29  06     45.23
BMW 2017   11  29  07     45.67
BMW 2017   11  29  08     44.68
BMW 2017   11  29  09     39.46
BMW 2017   11  29  10     31.10
BMW 2017   11  29  11     38.05
BMW 2017   11  29  12     33.42
BMW 2017   11  29  13     30.20
BMW 2017   11  29  14     35.87
BMW 2017   11  29  15     36.74
BMW 2017   11  29  16     40.97
BMW 2017   11  29  17     41.38
BMW 2017   11  29  18     41.62
BMW 2017   11  29  19     42.07
BMW 2017   11  29  20     41.82
BMW 2017   11  29  21     41.08
BMW 2017   11  29  22     42.81
BMW 2017   11  29  23     43.25
BMW 2017   11  30  00     44.41
BMW 2017   11  30  01     43.15
BMW 2017   11  30  02     43.54
BMW 2017   11  30  03     43.66
BMW 2017   11  30  04     44.34
BMW 2017   11  30  05     44.61
BMW 2017   11  30  06     44.64
BMW 2017   11  30  07     44.21
BMW 2017   11  30  08     43.93
BMW 2017   11  30  09     43.55
BMW 2017   11  30  10     43.36
BMW 2017   11  30  11     42.87
BMW 2017   11  30  12     41.66
BMW 2017   11  30  13     41.25
BMW 2017   11  30  14     42.45
BMW 2017   11  30  15     43.03
BMW 2017   11  30  16     42.15
BMW 2017   11  30  17     41.74
BMW 2017   11  30  18     41.84
BMW 2017   11  30  19     41.55
BMW 2017   11  30  20     41.77
BMW 2017   11  30  21     37.49
BMW 2017   11  30  22     34.99
BMW 2017   11  30  23     39.71
