These   data   are   made   available   to   the   scientific   community   and   public   with   the   understanding   that   authors   of   publications   
and   presentations   will   contact   the   PI   to   obtain   up-to-date   information   on   the   latest   version   of   the   data   during   the   early   stages   of   their   analysis.   
Manuscripts   that   employ   these   data   should   be   reviewed   by   the   PI   before   submission   to   ensure   the   quality   and   limitations   of   the   data   are   represented.   

Data   Disclaimer:   Data   has   undergone   extensive   quality   checks   and   is   available   from   NOAA-GMD   and   WDCGG.   
However,   there   still   exists   the   potential   for   these   data   to   be   modified   at   the   discretion   of   NOAA/ESRL   Global   Monitoring   Division.   

If   you   have   questions   regarding   the   data   in   this   file,   please   contact:
Audra   McClure-Begley:   Audra.mcclure@noaa.gov   (303-497-6823)

Please   use   the   following   citation   for   data   use:   
McClure-Begley,   A.,   Petropavlovskikh,   I.,   Oltmans,   S.,   (2014)   NOAA   Global   Monitoring   Surface   Ozone   Network.
   Station   name,   Time   start-Time   end.   National   Oceanic   and   Atmospheric   Administration,   Earth   Systems   Research   Laboratory   Global   Monitoring   Division.   
   Boulder,   CO.   DATE   ACCESSED   http://dx.doi.org/10.7289/V57P8WBF

STN   YEAR   MON   DAY   HR   O3(PPB)
BMW   2019   04   24   11   30.29
BMW   2019   04   24   12   32.18
BMW   2019   04   24   13   33.51
BMW   2019   04   24   14   35.72
BMW   2019   04   24   15   37.30
BMW   2019   04   24   16   38.28
BMW   2019   04   24   17   39.29
BMW   2019   04   24   18   39.94
BMW   2019   04   24   19   39.80
BMW   2019   04   24   20   40.29
BMW   2019   04   24   21   40.92
BMW   2019   04   24   22   41.69
BMW   2019   04   24   23   41.53
BMW   2019   04   25   00   41.19
BMW   2019   04   25   01   42.46
BMW   2019   04   25   02   46.41
BMW   2019   04   25   03   48.03
BMW   2019   04   25   04   49.78
BMW   2019   04   25   05   50.87
BMW   2019   04   25   06   50.75
BMW   2019   04   25   07   52.02
BMW   2019   04   25   08   53.58
BMW   2019   04   25   09   54.62
BMW   2019   04   25   10   53.80
BMW   2019   04   25   11   53.16
BMW   2019   04   25   12   51.27
BMW   2019   04   25   13   52.12
BMW   2019   04   25   14   53.64
BMW   2019   04   25   15   53.32
BMW   2019   04   25   16   52.72
BMW   2019   04   25   17   51.96
BMW   2019   04   25   18   50.45
BMW   2019   04   25   19   48.60
BMW   2019   04   25   20   47.96
BMW   2019   04   25   21   47.88
BMW   2019   04   25   22   48.26
BMW   2019   04   25   23   48.40
BMW   2019   04   26   00   48.88
BMW   2019   04   26   01   49.27
BMW   2019   04   26   02   50.20
BMW   2019   04   26   03   49.56
BMW   2019   04   26   04   49.73
BMW   2019   04   26   05   49.33
BMW   2019   04   26   06   49.28
BMW   2019   04   26   07   49.15
BMW   2019   04   26   08   49.33
BMW   2019   04   26   09   49.03
BMW   2019   04   26   10   48.70
BMW   2019   04   26   11   48.37
BMW   2019   04   26   12   48.07
BMW   2019   04   26   13   47.44
BMW   2019   04   26   14   47.45
BMW   2019   04   26   15   47.10
BMW   2019   04   26   16   46.57
BMW   2019   04   26   17   45.61
BMW   2019   04   26   18   45.12
BMW   2019   04   26   19   45.61
BMW   2019   04   26   20   45.27
BMW   2019   04   26   21   43.95
BMW   2019   04   26   22   43.63
BMW   2019   04   26   23   43.75
BMW   2019   04   27   00   43.45
BMW   2019   04   27   01   41.85
BMW   2019   04   27   02   42.26
BMW   2019   04   27   03   43.37
BMW   2019   04   27   04   46.52
BMW   2019   04   27   05   45.22
BMW   2019   04   27   06   45.76
BMW   2019   04   27   07   45.67
BMW   2019   04   27   08   45.01
BMW   2019   04   27   09   45.21
BMW   2019   04   27   10   45.29
BMW   2019   04   27   11   43.88
BMW   2019   04   27   12   43.36
BMW   2019   04   27   13   40.72
BMW   2019   04   27   14   37.73
BMW   2019   04   27   15   34.75
BMW   2019   04   27   16   33.35
BMW   2019   04   27   17   31.11
BMW   2019   04   27   18   30.80
BMW   2019   04   27   19   29.97
BMW   2019   04   27   20   53.83
BMW   2019   04   27   21   56.28
BMW   2019   04   27   22   57.62
BMW   2019   04   27   23   57.74
BMW   2019   04   28   00   57.48
BMW   2019   04   28   01   56.68
BMW   2019   04   28   02   57.08
BMW   2019   04   28   03   56.42
BMW   2019   04   28   04   56.01
BMW   2019   04   28   05   56.53
BMW   2019   04   28   06   55.50
BMW   2019   04   28   07   56.27
BMW   2019   04   28   08   57.45
BMW   2019   04   28   09   58.11
BMW   2019   04   28   10   59.18
BMW   2019   04   28   11   58.91
BMW   2019   04   28   12   57.65
BMW   2019   04   28   13   56.77
BMW   2019   04   28   14   56.04
BMW   2019   04   28   15   55.12
BMW   2019   04   28   16   51.25
BMW   2019   04   28   17   53.09
BMW   2019   04   28   18   55.92
BMW   2019   04   28   19   59.54
BMW   2019   04   28   20   54.87
BMW   2019   04   28   21   52.44
BMW   2019   04   28   22   53.97
BMW   2019   04   28   23   51.96
BMW   2019   04   29   00   54.28
BMW   2019   04   29   01   54.88
BMW   2019   04   29   02   55.32
BMW   2019   04   29   03   55.30
BMW   2019   04   29   04   51.72
BMW   2019   04   29   05   55.13
BMW   2019   04   29   06   55.36
BMW   2019   04   29   07   56.21
BMW   2019   04   29   08   55.40
BMW   2019   04   29   09   54.24
BMW   2019   04   29   10   54.58
BMW   2019   04   29   11   52.86
BMW   2019   04   29   12   50.63
BMW   2019   04   29   13   53.10
BMW   2019   04   29   14   9999.99
BMW   2019   04   29   15   51.98
BMW   2019   04   29   16   54.89
BMW   2019   04   29   17   53.98
BMW   2019   04   29   18   51.20
BMW   2019   04   29   19   49.64
BMW   2019   04   29   20   47.05
BMW   2019   04   29   21   46.95
BMW   2019   04   29   22   47.65
BMW   2019   04   29   23   47.60
BMW   2019   04   30   00   49.14
BMW   2019   04   30   01   50.06
BMW   2019   04   30   02   49.90
BMW   2019   04   30   03   49.21
BMW   2019   04   30   04   50.90
BMW   2019   04   30   05   51.84
BMW   2019   04   30   06   51.77
BMW   2019   04   30   07   50.90
BMW   2019   04   30   08   51.04
BMW   2019   04   30   09   52.22
BMW   2019   04   30   10   50.75
BMW   2019   04   30   11   48.11
BMW   2019   04   30   12   49.18
BMW   2019   04   30   13   49.74
BMW   2019   04   30   14   49.57
BMW   2019   04   30   15   49.11
BMW   2019   04   30   16   48.81
BMW   2019   04   30   17   47.96
BMW   2019   04   30   18   46.32
BMW   2019   04   30   19   46.11
BMW   2019   04   30   20   45.56
BMW   2019   04   30   21   46.22
BMW   2019   04   30   22   47.45
BMW   2019   04   30   23   45.33
